HOUSE NUMBER,STREET,ZIPCODE,PROPERTY CLASS CODE DESCRIPTION,FRONT,DEPTH,HOUSE NUMBER STREET ZIPCODE
98,BRAYTON,14213,TWO FAMILY DWELLING,30.00,99.00,98 BRAYTON 14213
415,MASSACHUSETTS,14213,TWO FAMILY DWELLING,29.00,100.00,415 MASSACHUSETTS 14213
198,MIAMI,14204,RESIDENTIAL VACANT LAND,3.00,210.00,198 MIAMI 14204
33,BREMEN,14213,ONE FAMILY DWELLING,25.00,157.00,33 BREMEN 14213
92,CALIFORNIA,14213,ONE FAMILY DWELLING,36.00,26.00,92 CALIFORNIA 14213
779,PERRY,14210,TWO FAMILY DWELLING,29.00,175.00,779 PERRY 14210
103,CHENANGO,14213,RELIGIOUS,119.50,103.00,103 CHENANGO 14213
154,CHENANGO,14213,TWO FAMILY DWELLING,30.00,106.00,154 CHENANGO 14213
504,CONNECTICUT,14213,TWO FAMILY DWELLING,29.00,116.00,504 CONNECTICUT 14213
19,EIGHTEENTH,14213,RESIDENTIAL VACANT LAND,30.00,106.00,19 EIGHTEENTH 14213
178,NORMAL,14213,MULTIPLE RESIDENCES,30.00,149.00,178 NORMAL 14213
33,EIGHTEENTH,14213,ONE FAMILY DWELLING,30.00,106.00,33 EIGHTEENTH 14213
16,EIGHTEENTH,14213,TWO FAMILY DWELLING,30.00,100.00,16 EIGHTEENTH 14213
26,EIGHTEENTH,14213,ONE FAMILY DWELLING,24.00,100.00,26 EIGHTEENTH 14213
30,EIGHTEENTH,14213,TWO FAMILY DWELLING,30.00,100.00,30 EIGHTEENTH 14213
86,EIGHTEENTH,14213,TWO FAMILY DWELLING,30.00,82.00,86 EIGHTEENTH 14213
124,SMITH,14210,TWO FAMILY DWELLING,30.00,115.00,124 SMITH 14210
96,EIGHTEENTH,14213,TWO FAMILY DWELLING,30.00,79.44,96 EIGHTEENTH 14213
100,EIGHTEENTH,14213,ONE FAMILY DWELLING,30.00,89.00,100 EIGHTEENTH 14213
120,EIGHTEENTH,14213,TWO FAMILY DWELLING,30.00,99.00,120 EIGHTEENTH 14213
299,FARGO,14213,MULTIPLE RESIDENCES,30.00,148.00,299 FARGO 14213
589,FARGO,14213,RESIDENTIAL VACANT LAND,25.00,111.00,589 FARGO 14213
551,PERRY,14210,RESIDENTIAL VACANT LAND,25.00,151.00,551 PERRY 14210
65,PRENATT,14210,RESIDENTIAL VACANT LAND,29.00,135.00,65 PRENATT 14210
611,FARGO,14213,TWO FAMILY DWELLING,30.00,149.00,611 FARGO 14213
795,PROSPECT,14213,TWO FAMILY DWELLING,34.50,200.00,795 PROSPECT 14213
848,SOUTH PARK,14210,RESIDENTIAL VACANT LAND,33.00,308.00,848 SOUTH PARK 14210
633,FARGO,14213,TWO FAMILY DWELLING,107.40,125.00,633 FARGO 14213
360,FARGO,14213,THREE FAMILY DWELLING,33.60,165.00,360 FARGO 14213
468,FARGO,14213,TWO FAMILY DWELLING,36.66,82.50,468 FARGO 14213
213,FERRY WEST,14213,ONE FAMILY DWELLING,31.47,109.00,213 FERRY WEST 14213
39,FIFTEENTH,14213,MULTIPLE RESIDENCES,27.00,149.00,39 FIFTEENTH 14213
847,PERRY,14210,RESIDENTIAL VACANT LAND,26.00,175.00,847 PERRY 14210
297,FIFTEENTH,14213,TWO FAMILY DWELLING,30.00,149.00,297 FIFTEENTH 14213
11,RED JACKET ST,14210,RESIDENTIAL VACANT LAND,32.00,26.00,11 RED JACKET ST 14210
327,FIFTEENTH,14213,TWO FAMILY DWELLING,30.00,149.00,327 FIFTEENTH 14213
849,PERRY,14210,RESIDENTIAL VACANT LAND,26.00,175.00,849 PERRY 14210
251,FOURTEENTH,14213,RESIDENTIAL VACANT LAND,25.00,148.50,251 FOURTEENTH 14213
111,SIDWAY,14210,RESIDENTIAL VACANT LAND,24.00,84.00,111 SIDWAY 14210
