HOUSE NUMBER,STREET,ZIPCODE,PROPERTY CLASS CODE DESCRIPTION,FRONT,DEPTH,HOUSE NUMBER STREET ZIPCODE
2460,MAIN,14214,DOWNTOWN ROW TYPE (DETACHED),43.23,0.00,2460 MAIN 14214
2566,MAIN,14214,TWO FAMILY DWELLING,40.00,151.00,2566 MAIN 14214
469,RILEY,14208,RESIDENTIAL VACANT LAND,30.00,103.00,469 RILEY 14208
39,MEECH,14208,ONE FAMILY DWELLING,34.00,120.00,39 MEECH 14208
45,MEECH,14208,ONE FAMILY DWELLING,34.00,117.00,45 MEECH 14208
34,MONTICELLO,14214,ONE FAMILY DWELLING,35.00,107.00,34 MONTICELLO 14214
50,PECK,14212,ONE FAMILY DWELLING,30.00,106.68,50 PECK 14212
181,POTOMAC,14213,ONE FAMILY DWELLING,25.00,93.00,181 POTOMAC 14213
57,MONTICELLO,14214,ONE FAMILY DWELLING,34.00,107.00,57 MONTICELLO 14214
77,MONTICELLO,14214,TWO FAMILY DWELLING,35.00,107.00,77 MONTICELLO 14214
66,SIDNEY,14211,TWO FAMILY DWELLING,30.00,0.00,66 SIDNEY 14211
179,ROEHRER,14208,RESIDENTIAL VACANT LAND,30.00,117.00,179 ROEHRER 14208
28,EATON,14209,RESIDENTIAL VACANT LAND,33.36,143.00,28 EATON 14209
27,OAKGROVE,14208,ONE FAMILY DWELLING,35.00,103.00,27 OAKGROVE 14208
70,OAKWOOD EAST,14214,ONE FAMILY DWELLING,35.00,110.00,70 OAKWOOD EAST 14214
19,OAKWOOD EAST,14214,ONE FAMILY DWELLING,34.50,110.00,19 OAKWOOD EAST 14214
53,SIDNEY,14211,TWO FAMILY DWELLING,30.00,120.00,53 SIDNEY 14211
12,PARKER,14214,THREE FAMILY DWELLING,43.00,110.00,12 PARKER 14214
53,SCHMARBECK,14212,TWO FAMILY DWELLING,30.00,93.00,53 SCHMARBECK 14212
98,ROEHRER,14208,RESIDENTIAL VACANT LAND,40.15,110.00,98 ROEHRER 14208
90,SCHUTRUM,14212,TWO FAMILY DWELLING,30.00,110.00,90 SCHUTRUM 14212
1339,WEST,14213,RESIDENTIAL VACANT LAND,39.00,125.00,1339 WEST 14213
269,PARKSIDE,14214,ONE FAMILY DWELLING,33.33,173.00,269 PARKSIDE 14214
319,PARKSIDE,14214,TWO FAMILY DWELLING,30.00,104.00,319 PARKSIDE 14214
405,PARKSIDE,14216,TWO FAMILY DWELLING,50.00,162.00,405 PARKSIDE 14216
17,PAULINE,14214,TWO FAMILY DWELLING,29.00,104.00,17 PAULINE 14214
89,SHEPARD,14212,ONE FAMILY DWELLING,30.00,110.00,89 SHEPARD 14212
44,RAND,14216,TWO FAMILY DWELLING,39.00,135.00,44 RAND 14216
109,URBAN,14211,RESIDENTIAL VACANT LAND,32.00,171.00,109 URBAN 14211
75,RODNEY,14214,DOWNTOWN ROW TYPE (DETACHED),30.55,120.00,75 RODNEY 14214
23,SANFORD,14214,ONE FAMILY DWELLING,30.00,152.00,23 SANFORD 14214
275,SUMMIT,14214,ONE FAMILY DWELLING,40.00,150.00,275 SUMMIT 14214
116,WOODWARD,14214,ONE FAMILY DWELLING,32.00,110.00,116 WOODWARD 14214
235,BRECKENRIDGE,14213,RESIDENTIAL VACANT LAND,29.50,60.00,235 BRECKENRIDGE 14213
497,UTICA EAST,14208,RESIDENTIAL VACANT LAND,30.00,142.00,497 UTICA EAST 14208
213,CAMDEN,14216,ONE FAMILY DWELLING,35.00,114.00,213 CAMDEN 14216
112,CAMDEN,14216,ONE FAMILY DWELLING,30.00,164.00,112 CAMDEN 14216
1215,SYCAMORE,14211,AUTO BODY AND TIRE SHOPS,54.62,0.00,1215 SYCAMORE 14211
8,THOMAS,14206,ONE FAMILY DWELLING,30.00,115.00,8 THOMAS 14206
59,GLENWOOD,14209,RESIDENTIAL VACANT LAND,40.00,154.00,59 GLENWOOD 14209
130,COLVIN,14216,TWO FAMILY DWELLING,40.00,138.00,130 COLVIN 14216
326,COLVIN,14216,TWO FAMILY DWELLING,33.33,160.00,326 COLVIN 14216
154,WINSLOW,14208,RESIDENTIAL VACANT LAND,30.00,108.00,154 WINSLOW 14208
59,WINSLOW,14208,RESIDENTIAL VACANT LAND,25.00,85.00,59 WINSLOW 14208
291,WALDEN,14211,COMMERCIAL VACANT LAND,60.00,134.60,291 WALDEN 14211
54,COMET,14216,AUTO BODY AND TIRE SHOPS,120.00,105.00,54 COMET 14216
565,WALDEN,14211,MULTIPLE RESIDENCES,42.00,181.00,565 WALDEN 14211
131,WINSLOW,14208,RESIDENTIAL LAND WITH SMALL IMPROVEMENTS,58.74,40.89,131 WINSLOW 14208
82,COMMONWEALTH,14216,THREE FAMILY DWELLING,36.00,130.00,82 COMMONWEALTH 14216
200,COMMONWEALTH,14216,TWO FAMILY DWELLING,35.00,150.00,200 COMMONWEALTH 14216
336,COMMONWEALTH,14216,TWO FAMILY DWELLING,35.00,117.00,336 COMMONWEALTH 14216
195,WINSLOW,14208,RESIDENTIAL VACANT LAND,30.00,103.00,195 WINSLOW 14208
438,BAYNES,14213,ONE FAMILY DWELLING,30.00,87.00,438 BAYNES 14213
1526,WILLIAM,14206,AUTO DEALERS,130.00,125.00,1526 WILLIAM 14206
300,CRESTWOOD,14216,TWO FAMILY DWELLING,34.00,180.00,300 CRESTWOOD 14216
70,CUNARD,14216,TWO FAMILY DWELLING,35.00,127.00,70 CUNARD 14216
79,YOUNG,14212,TWO FAMILY DWELLING,30.00,120.00,79 YOUNG 14212
101,WOHLERS,14208,RESIDENTIAL VACANT LAND,30.00,111.00,101 WOHLERS 14208
1927,ELMWOOD,14207,OTHER STORAGE & WAREHOUSE FACILITIES,133.78,643.00,1927 ELMWOOD 14207
80,FRONTENAC,14216,ONE FAMILY DWELLING,34.00,154.00,80 FRONTENAC 14216
3,GENOA,14216,ONE FAMILY DWELLING,40.00,102.00,3 GENOA 14216
277,DELAVAN WEST,14213,APARTMENT,65.40,75.00,277 DELAVAN WEST 14213
1823,BAILEY,14211,TWO FAMILY DWELLING,35.00,120.00,1823 BAILEY 14211
329,BARNARD,14206,TWO FAMILY DWELLING,30.00,100.00,329 BARNARD 14206
283,DELAVAN WEST,14213,APARTMENT,80.00,100.00,283 DELAVAN WEST 14213
27,ALMA,14215,RESIDENTIAL VACANT LAND,30.00,120.00,27 ALMA 14215
255,HARTWELL,14216,TWO FAMILY DWELLING,38.00,112.00,255 HARTWELL 14216
40,HENLEY,14216,TWO FAMILY DWELLING,37.00,117.00,40 HENLEY 14216
84,WOEPPEL,14211,TWO FAMILY DWELLING,31.10,115.00,84 WOEPPEL 14211
875,HERTEL,14216,TWO FAMILY DWELLING,31.00,121.00,875 HERTEL 14216
1677,BROADWAY,14212,DOWNTOWN ROW TYPE (DETACHED),30.00,137.00,1677 BROADWAY 14212
1803,HERTEL,14216,RESIDENTIAL VACANT LAND,45.00,70.00,1803 HERTEL 14216
81,WOEPPEL,14211,ONE FAMILY DWELLING,30.00,115.00,81 WOEPPEL 14211
202,HINMAN,14216,ONE FAMILY DWELLING,50.00,90.48,202 HINMAN 14216
327,WOODLAWN,14208,RESIDENTIAL VACANT LAND,25.50,47.00,327 WOODLAWN 14208
68,HOMER,14216,ONE FAMILY DWELLING,35.00,150.00,68 HOMER 14216
210,HUNTINGTON,14214,ONE FAMILY DWELLING,40.00,100.00,210 HUNTINGTON 14214
282,HUNTINGTON,14214,TWO FAMILY DWELLING,0.00,146.00,282 HUNTINGTON 14214
356,HUNTINGTON,14214,TWO FAMILY DWELLING,37.50,236.00,356 HUNTINGTON 14214
862,KENMORE,14216,ONE STORY SMALL STRUCTURE,90.00,0.00,862 KENMORE 14216
1082,KENMORE,14216,AUTO BODY AND TIRE SHOPS,140.00,105.00,1082 KENMORE 14216
198,MASTEN,14209,COMMERCIAL VACANT LAND,30.00,125.00,198 MASTEN 14209
105,LEDGER,14216,ONE FAMILY DWELLING,30.00,119.00,105 LEDGER 14216
207,LINDEN AVE,14216,ONE FAMILY DWELLING,46.77,159.00,207 LINDEN AVE 14216
71,GREENE,14206,ONE FAMILY DWELLING,30.00,115.00,71 GREENE 14206
498,LINDEN AVE,14216,TWO FAMILY DWELLING,53.00,154.00,498 LINDEN AVE 14216
393,IDEAL,14206,TWO FAMILY DWELLING,30.00,134.00,393 IDEAL 14206
180,MORRIS AVE,14214,ONE FAMILY DWELLING,88.00,182.00,180 MORRIS AVE 14214
24,NEWPORT,14216,ONE FAMILY DWELLING,47.00,150.00,24 NEWPORT 14216
34,IDEAL,14206,ONE FAMILY DWELLING,45.00,115.00,34 IDEAL 14206
15,KEYSTONE,14211,ONE FAMILY DWELLING,30.00,105.00,15 KEYSTONE 14211
303,NORTH PARK,14216,TWO FAMILY DWELLING,35.00,160.00,303 NORTH PARK 14216
26,NORTH PARK,14216,TWO FAMILY DWELLING,32.50,120.00,26 NORTH PARK 14216
324,NORTH PARK,14216,TWO FAMILY DWELLING,35.00,175.00,324 NORTH PARK 14216
1026,LOVEJOY,14206,APARTMENT,30.00,125.00,1026 LOVEJOY 14206
230,ST LAWRENCE,14216,TWO FAMILY DWELLING,33.00,125.00,230 ST LAWRENCE 14216
532,ST LAWRENCE,14216,ONE FAMILY DWELLING,47.50,120.00,532 ST LAWRENCE 14216
238,NORTHAMPTON,14208,MULTIPLE RESIDENCES,35.00,135.00,238 NORTHAMPTON 14208
482,GRANT,14213,RESIDENTIAL VACANT LAND,25.00,56.00,482 GRANT 14213
399,ST LAWRENCE,14216,TWO FAMILY DWELLING,32.75,140.00,399 ST LAWRENCE 14216
155,OGDEN NORTH,14206,THREE FAMILY DWELLING,30.00,129.00,155 OGDEN NORTH 14206
515,ST LAWRENCE,14216,ONE FAMILY DWELLING,40.00,114.00,515 ST LAWRENCE 14216
327,SANDERS,14216,ONE FAMILY DWELLING,33.00,125.00,327 SANDERS 14216
43,PERU,14206,ONE FAMILY DWELLING,30.00,107.00,43 PERU 14206
609,FERRY EAST,14211,RESIDENTIAL VACANT LAND,34.00,106.00,609 FERRY EAST 14211
24,STRATFORD,14216,TWO FAMILY DWELLING,35.00,112.00,24 STRATFORD 14216
15,SCHEU,14211,ONE FAMILY DWELLING,34.00,100.00,15 SCHEU 14211
73,TACOMA,14216,ONE FAMILY DWELLING,35.00,122.00,73 TACOMA 14216
104,TAUNTON,14216,ONE FAMILY DWELLING,34.50,117.00,104 TAUNTON 14216
90,AUSTIN,14207,ONE FAMILY DWELLING,33.00,74.75,90 AUSTIN 14207
33,SUMNER,14211,TWO FAMILY DWELLING,30.00,142.00,33 SUMNER 14211
361,TAUNTON,14216,ONE FAMILY DWELLING,42.00,145.00,361 TAUNTON 14216
76,TENNYSON,14216,ONE FAMILY DWELLING,40.00,155.00,76 TENNYSON 14216
5,TRAYMORE,14216,TWO FAMILY DWELLING,35.00,125.00,5 TRAYMORE 14216
39,BAXTER,14207,RESIDENTIAL VACANT LAND,30.00,75.00,39 BAXTER 14207
116,VILLA,14216,ONE FAMILY DWELLING,60.00,100.00,116 VILLA 14216
376,VILLA,14216,ONE FAMILY DWELLING,35.00,125.00,376 VILLA 14216
1420,MAIN,14209,RELIGIOUS,82.25,193.00,1420 MAIN 14209
56,VIRGIL,14216,TWO FAMILY DWELLING,40.00,150.00,56 VIRGIL 14216
929,WALDEN,14211,TWO FAMILY DWELLING,30.00,150.00,929 WALDEN 14211
90,VIRGIL,14216,TWO FAMILY DWELLING,35.00,150.00,90 VIRGIL 14216
328,PURDY,14208,RESIDENTIAL VACANT LAND,26.00,105.00,328 PURDY 14208
12,WINSTON,14216,ONE FAMILY DWELLING,40.00,130.00,12 WINSTON 14216
72,WINSTON,14216,ONE FAMILY DWELLING,40.00,150.00,72 WINSTON 14216
3076,BAILEY,14215,DOWNTOWN ROW TYPE (DETACHED),30.00,0.00,3076 BAILEY 14215
3172,BAILEY,14215,DOWNTOWN ROW TYPE (DETACHED),34.01,115.00,3172 BAILEY 14215
3174,BAILEY,14215,DOWNTOWN ROW TYPE (DETACHED),34.00,116.00,3174 BAILEY 14215
283,BEARD,14214,ONE FAMILY DWELLING,56.00,175.00,283 BEARD 14214
42,FRENCH,14211,RESIDENTIAL VACANT LAND,29.50,137.00,42 FRENCH 14211
44,WOOD,14211,ONE FAMILY DWELLING,30.00,105.00,44 WOOD 14211
30,BENNETT VILL,14214,ONE FAMILY DWELLING,26.94,130.00,30 BENNETT VILL 14214
80,BENNETT VILL,14214,ONE FAMILY DWELLING,18.00,130.00,80 BENNETT VILL 14214
7,BENNETT VILL,14214,ONE FAMILY DWELLING,18.00,146.50,7 BENNETT VILL 14214
13,BENNETT VILL,14214,ONE FAMILY DWELLING,18.00,130.00,13 BENNETT VILL 14214
27,BENNETT VILL,14214,ONE FAMILY DWELLING,18.00,130.00,27 BENNETT VILL 14214
26,ADA,14208,RESIDENTIAL VACANT LAND,20.50,60.00,26 ADA 14208
295,BABCOCK,14206,RESIDENTIAL VACANT LAND,30.50,125.00,295 BABCOCK 14206
45,BENNETT VILL,14214,ONE FAMILY DWELLING,18.00,130.00,45 BENNETT VILL 14214
66,BENWOOD,14214,TWO FAMILY DWELLING,39.00,128.00,66 BENWOOD 14214
122,BERKSHIRE,14215,ONE FAMILY DWELLING,35.00,102.00,122 BERKSHIRE 14215
182,BERKSHIRE,14215,ONE FAMILY DWELLING,35.00,102.00,182 BERKSHIRE 14215
143,CHESTER,14208,TWO FAMILY DWELLING,25.00,100.00,143 CHESTER 14208
188,BERKSHIRE,14215,TWO FAMILY DWELLING,35.00,102.00,188 BERKSHIRE 14215
50,GIRARD,14211,RESIDENTIAL VACANT LAND,30.00,165.00,50 GIRARD 14211
139,BERKSHIRE,14215,ONE FAMILY DWELLING,35.00,102.00,139 BERKSHIRE 14215
213,BERKSHIRE,14215,ONE FAMILY DWELLING,35.00,102.00,213 BERKSHIRE 14215
1005,MCKINLEY PKWY,14218,SERVICE AND GAS STATIONS,198.65,110.00,1005 MCKINLEY PKWY 14218
90,GIRARD,14211,RESIDENTIAL VACANT LAND,30.00,165.00,90 GIRARD 14211
135,CARMEL,14214,TWO FAMILY DWELLING,40.00,115.00,135 CARMEL 14214
119,ORLANDO,14210,TWO FAMILY DWELLING,30.00,126.00,119 ORLANDO 14210
136,ORLANDO,14210,TWO FAMILY DWELLING,30.00,125.00,136 ORLANDO 14210
60,SELKIRK,14210,TWO FAMILY DWELLING,35.00,120.00,60 SELKIRK 14210
27,CASTLE,14214,ONE FAMILY DWELLING,34.00,119.00,27 CASTLE 14214
49,CASTLE,14214,TWO FAMILY DWELLING,30.00,119.00,49 CASTLE 14214
738,GLENWOOD,14211,RESIDENTIAL VACANT LAND,30.00,113.00,738 GLENWOOD 14211
24,CASTLE,14214,ONE FAMILY DWELLING,34.00,109.00,24 CASTLE 14214
38,CASTLE,14214,ONE FAMILY DWELLING,34.00,109.00,38 CASTLE 14214
67,CLARENCE,14215,TWO FAMILY DWELLING,30.00,112.00,67 CLARENCE 14215
129,CLARENCE,14215,ONE FAMILY DWELLING,31.00,112.00,129 CLARENCE 14215
157,DODGE,14209,ONE FAMILY DWELLING,27.00,125.00,157 DODGE 14209
143,CLARENCE,14215,TWO FAMILY DWELLING,31.00,112.00,143 CLARENCE 14215
1261,SENECA,14210,TWO FAMILY DWELLING,30.00,92.00,1261 SENECA 14210
183,CLARENCE,14215,TWO FAMILY DWELLING,35.00,112.00,183 CLARENCE 14215
183,DODGE,14209,ONE FAMILY DWELLING,30.00,125.00,183 DODGE 14209
58,CLARENCE,14215,TWO FAMILY DWELLING,30.00,112.00,58 CLARENCE 14215
67,COMSTOCK,14215,TWO FAMILY DWELLING,35.50,113.00,67 COMSTOCK 14215
115,AUBURN,14213,RESIDENTIAL VACANT LAND,25.00,99.00,115 AUBURN 14213
14,COMSTOCK,14215,ONE FAMILY DWELLING,29.94,0.00,14 COMSTOCK 14215
82,COMSTOCK,14215,ONE FAMILY DWELLING,33.00,110.00,82 COMSTOCK 14215
196,COMSTOCK,14215,TWO FAMILY DWELLING,37.43,0.00,196 COMSTOCK 14215
214,COMSTOCK,14215,ONE FAMILY DWELLING,32.00,0.00,214 COMSTOCK 14215
34,TROUPE,14210,TWO FAMILY DWELLING,30.00,125.00,34 TROUPE 14210
244,COMSTOCK,14215,TWO FAMILY DWELLING,32.00,103.00,244 COMSTOCK 14215
847,GLENWOOD,14211,RESIDENTIAL VACANT LAND,30.00,187.00,847 GLENWOOD 14211
107,CUSTER,14214,TWO FAMILY DWELLING,30.00,111.00,107 CUSTER 14214
36,CUSTER,14214,TWO FAMILY DWELLING,25.00,111.00,36 CUSTER 14214
343,ABBY,14220,RESIDENTIAL VACANT LAND,32.11,114.00,343 ABBY 14220
90,DARTMOUTH,14215,ONE FAMILY DWELLING,33.00,110.00,90 DARTMOUTH 14215
134,DARTMOUTH,14215,TWO FAMILY DWELLING,32.00,110.00,134 DARTMOUTH 14215
136,DARTMOUTH,14215,TWO FAMILY DWELLING,32.00,110.00,136 DARTMOUTH 14215
142,DARTMOUTH,14215,TWO FAMILY DWELLING,32.00,110.00,142 DARTMOUTH 14215
211,DARTMOUTH,14215,ONE FAMILY DWELLING,34.00,164.00,211 DARTMOUTH 14215
240,DEWEY,14214,RESIDENTIAL VACANT LAND,85.00,252.00,240 DEWEY 14214
249,DEWEY,14214,TWO FAMILY DWELLING,30.00,120.00,249 DEWEY 14214
283,DEWEY,14214,TWO FAMILY DWELLING,35.00,120.00,283 DEWEY 14214
250,HAZELWOOD,14215,ONE FAMILY DWELLING,30.00,126.00,250 HAZELWOOD 14215
286,HAZELWOOD,14215,RESIDENTIAL VACANT LAND,30.00,126.00,286 HAZELWOOD 14215
98,DREXEL,14214,ONE FAMILY DWELLING,48.50,105.00,98 DREXEL 14214
4,DUNLOP,14215,APARTMENT,52.95,135.00,4 DUNLOP 14215
20,DUNLOP,14215,TWO FAMILY DWELLING,35.00,132.00,20 DUNLOP 14215
234,KEHR,14211,RESIDENTIAL VACANT LAND,30.00,91.00,234 KEHR 14211
31,GLENWOOD,14209,ONE FAMILY DWELLING,37.00,192.00,31 GLENWOOD 14209
37,KIEFER,14211,RESIDENTIAL VACANT LAND,30.00,130.00,37 KIEFER 14211
11,DUNLOP,14215,ONE FAMILY DWELLING,33.00,133.98,11 DUNLOP 14215
496,AMHERST EAST,14215,ONE FAMILY DWELLING,35.00,102.00,496 AMHERST EAST 14215
508,AMHERST EAST,14215,ONE FAMILY DWELLING,35.00,102.00,508 AMHERST EAST 14215
238,MARILLA,14220,TWO FAMILY DWELLING,60.00,96.00,238 MARILLA 14220
556,AMHERST EAST,14215,APARTMENT,35.00,102.00,556 AMHERST EAST 14215
43,PAYNE,14220,ONE FAMILY DWELLING,42.00,100.00,43 PAYNE 14220
317,AMHERST EAST,14215,MANUFACTURING & PROCESSING,607.82,0.00,317 AMHERST EAST 14215
93,PRIES,14220,ONE FAMILY DWELLING,30.00,102.00,93 PRIES 14220
603,AMHERST EAST,14215,ONE FAMILY DWELLING,30.00,116.00,603 AMHERST EAST 14215
89,DEPEW EAST,14214,ONE FAMILY DWELLING,50.33,89.00,89 DEPEW EAST 14214
83,LARK,14211,RESIDENTIAL VACANT LAND,30.00,107.00,83 LARK 14211
152,MORRIS EAST,14214,ONE FAMILY DWELLING,39.00,0.00,152 MORRIS EAST 14214
1252,JEFFERSON,14208,COMMERCIAL VACANT LAND,30.50,100.00,1252 JEFFERSON 14208
47,MORRIS EAST,14214,APARTMENT,40.00,110.00,47 MORRIS EAST 14214
178,CONGRESS,14213,RESIDENTIAL VACANT LAND,30.00,132.00,178 CONGRESS 14213
79,MORRIS EAST,14214,TWO FAMILY DWELLING,40.00,110.00,79 MORRIS EAST 14214
189,MORRIS EAST,14214,TWO FAMILY DWELLING,50.00,110.00,189 MORRIS EAST 14214
49,ELMER,14215,ONE FAMILY DWELLING,32.00,112.00,49 ELMER 14215
145,MOHICAN,14211,TWO FAMILY DWELLING,31.00,110.00,145 MOHICAN 14211
85,SPAULDING,14220,RESIDENTIAL VACANT LAND,30.00,100.00,85 SPAULDING 14220
18,ELMER,14215,RESIDENTIAL VACANT LAND,32.02,112.00,18 ELMER 14215
74,ELMER,14215,ONE FAMILY DWELLING,33.00,112.00,74 ELMER 14215
2001,FILLMORE,14214,ONE FAMILY DWELLING,30.00,103.00,2001 FILLMORE 14214
2015,FILLMORE,14214,ONE FAMILY DWELLING,35.00,103.00,2015 FILLMORE 14214
2023,FILLMORE,14214,ONE FAMILY DWELLING,35.00,103.00,2023 FILLMORE 14214
2087,FILLMORE,14214,ONE FAMILY DWELLING,40.00,103.00,2087 FILLMORE 14214
2105,FILLMORE,14214,AUTO BODY AND TIRE SHOPS,185.00,103.00,2105 FILLMORE 14214
212,HERTEL,14207,MISCELLANEOUS SERVICES,20.00,148.00,212 HERTEL 14207
2129,FILLMORE,14214,AUTO BODY AND TIRE SHOPS,50.00,0.00,2129 FILLMORE 14214
214,HERTEL,14207,MISCELLANEOUS SERVICES,347.00,0.00,214 HERTEL 14207
2255,FILLMORE,14214,ONE STORY SMALL STRUCTURE MULTI-OCCUPANT,120.00,125.00,2255 FILLMORE 14214
2261,FILLMORE,14214,DOWNTOWN ROW TYPE (DETACHED),38.33,125.00,2261 FILLMORE 14214
2383,FILLMORE,14214,DINERS OR LUNCHEONETTES,33.10,125.00,2383 FILLMORE 14214
38,DEWITT,14213,RESIDENTIAL VACANT LAND,31.00,47.00,38 DEWITT 14213
46,GROVELAND,14214,ONE FAMILY DWELLING,36.00,115.00,46 GROVELAND 14214
145,HEATH,14214,ONE FAMILY DWELLING,30.00,115.00,145 HEATH 14214
40,HEATH,14214,ONE FAMILY DWELLING,30.00,115.00,40 HEATH 14214
260,HEATH,14214,ONE FAMILY DWELLING,39.00,132.00,260 HEATH 14214
268,HEATH,14214,TWO FAMILY DWELLING,39.00,132.00,268 HEATH 14214
1905,HERTEL,14214,ONE FAMILY DWELLING,50.00,70.00,1905 HERTEL 14214
50,FREDRO,14206,ONE FAMILY DWELLING,30.00,100.00,50 FREDRO 14206
31,LAIRD,14207,TWO FAMILY DWELLING,30.00,100.00,31 LAIRD 14207
2005,HERTEL,14214,ONE FAMILY DWELLING,44.00,140.00,2005 HERTEL 14214
90,HEWITT,14215,TWO FAMILY DWELLING,34.00,116.00,90 HEWITT 14215
23,HILLSIDE,14210,TWO FAMILY DWELLING,35.00,106.00,23 HILLSIDE 14210
122,HEWITT,14215,ONE FAMILY DWELLING,34.00,109.00,122 HEWITT 14215
296,DEWITT,14213,ONE FAMILY DWELLING,30.00,147.00,296 DEWITT 14213
132,HEWITT,14215,TWO FAMILY DWELLING,34.00,106.00,132 HEWITT 14215
26,LYTH,14208,ONE FAMILY DWELLING,24.40,120.00,26 LYTH 14208
27,HEWITT,14215,ONE FAMILY DWELLING,40.00,110.00,27 HEWITT 14215
447,NORTHLAND,14211,RESIDENTIAL VACANT LAND,30.00,120.00,447 NORTHLAND 14211
109,HEWITT,14215,ONE FAMILY DWELLING,35.00,110.00,109 HEWITT 14215
117,HEWITT,14215,ONE FAMILY DWELLING,35.00,110.00,117 HEWITT 14215
151,HEWITT,14215,ONE FAMILY DWELLING,35.00,110.00,151 HEWITT 14215
261,HEWITT,14215,ONE FAMILY DWELLING,35.00,135.00,261 HEWITT 14215
531,MASTEN,14209,RESIDENTIAL VACANT LAND,25.00,100.00,531 MASTEN 14209
533,MASTEN,14209,RESIDENTIAL VACANT LAND,24.50,95.00,533 MASTEN 14209
535,NORTHLAND,14211,RESIDENTIAL VACANT LAND,32.00,84.89,535 NORTHLAND 14211
116,HIGHGATE,14214,ONE FAMILY DWELLING,40.00,191.00,116 HIGHGATE 14214
169,HIGHGATE,14215,ONE FAMILY DWELLING,53.59,100.00,169 HIGHGATE 14215
19,GARNER,14213,RESIDENTIAL VACANT LAND,27.00,140.00,19 GARNER 14213
19,HILL,14214,ONE FAMILY DWELLING,30.00,132.00,19 HILL 14214
65,HILL,14214,RESIDENTIAL VACANT LAND,30.00,127.00,65 HILL 14214
2307,NIAGARA,14207,TWO FAMILY DWELLING,33.00,149.08,2307 NIAGARA 14207
10,RICKERT,14211,RESIDENTIAL VACANT LAND,78.20,39.18,10 RICKERT 14211
220,HUTCHINSON,14215,TWO FAMILY DWELLING,30.00,76.00,220 HUTCHINSON 14215
231,HUTCHINSON,14215,TWO FAMILY DWELLING,31.00,110.00,231 HUTCHINSON 14215
143,GELSTON,14213,RESIDENTIAL VACANT LAND,35.80,93.00,143 GELSTON 14213
146,JEWETT AVE,14214,APARTMENT,45.00,80.00,146 JEWETT AVE 14214
164,JEWETT AVE,14214,TWO FAMILY DWELLING,30.00,120.00,164 JEWETT AVE 14214
18,ROETZER,14211,RESIDENTIAL VACANT LAND,30.00,130.00,18 ROETZER 14211
292,JEWETT AVE,14214,ONE FAMILY DWELLING,30.00,120.00,292 JEWETT AVE 14214
314,JEWETT AVE,14214,ONE FAMILY DWELLING,30.00,120.00,314 JEWETT AVE 14214
140,RYAN ST,14210,ONE FAMILY DWELLING,70.00,110.00,140 RYAN ST 14210
324,JEWETT AVE,14214,THREE FAMILY DWELLING,30.00,120.00,324 JEWETT AVE 14214
54,ROETZER,14211,RESIDENTIAL VACANT LAND,30.00,130.00,54 ROETZER 14211
146,AUSTIN,14207,RESIDENTIAL VACANT LAND,40.00,100.00,146 AUSTIN 14207
201,JEWETT AVE,14214,TWO FAMILY DWELLING,30.00,120.00,201 JEWETT AVE 14214
275,JEWETT AVE,14214,RESIDENTIAL VACANT LAND,30.00,120.00,275 JEWETT AVE 14214
63,ROHR,14211,RESIDENTIAL VACANT LAND,30.00,130.00,63 ROHR 14211
290,KENMORE,14216,ONE STORY SMALL STRUCTURE,310.76,115.00,290 KENMORE 14216
20,KENOVA,14214,ONE FAMILY DWELLING,32.00,104.00,20 KENOVA 14214
32,ROHR,14211,RESIDENTIAL VACANT LAND,30.00,130.00,32 ROHR 14211
28,KENOVA,14214,ONE FAMILY DWELLING,32.00,104.00,28 KENOVA 14214
36,KENOVA,14214,ONE FAMILY DWELLING,32.00,104.00,36 KENOVA 14214
48,KENOVA,14214,ONE FAMILY DWELLING,32.00,104.00,48 KENOVA 14214
36,SCHAUF,14211,ONE FAMILY DWELLING,30.00,95.00,36 SCHAUF 14211
360,KENSINGTON,14214,ONE FAMILY DWELLING,41.32,60.89,360 KENSINGTON 14214
468,KENSINGTON,14214,TWO FAMILY DWELLING,30.00,116.00,468 KENSINGTON 14214
976,KENSINGTON,14215,DOWNTOWN ROW TYPE (DETACHED),32.00,115.00,976 KENSINGTON 14215
988,KENSINGTON,14215,ONE FAMILY DWELLING,33.00,115.00,988 KENSINGTON 14215
45,NORTHLAND,14208,ONE FAMILY DWELLING,28.66,120.00,45 NORTHLAND 14208
1024,KENSINGTON,14215,TWO FAMILY DWELLING,30.00,115.00,1024 KENSINGTON 14215
133,NORTHLAND,14208,TWO FAMILY DWELLING,30.00,120.00,133 NORTHLAND 14208
1040,KENSINGTON,14215,DOWNTOWN ROW TYPE (DETACHED),30.00,115.00,1040 KENSINGTON 14215
682,ABBOTT,14220,DOWNTOWN ROW TYPE (DETACHED),50.00,58.00,682 ABBOTT 14220
1042,KENSINGTON,14215,TWO FAMILY DWELLING,30.00,115.00,1042 KENSINGTON 14215
1048,KENSINGTON,14215,CONVERTED RESIDENCE,30.00,115.00,1048 KENSINGTON 14215
1016,ABBOTT,14220,ONE STORY SMALL STRUCTURE,98.04,0.00,1016 ABBOTT 14220
260,LA SALLE,14215,TWO FAMILY DWELLING,40.00,130.00,260 LA SALLE 14215
306,LA SALLE,14215,ONE FAMILY DWELLING,40.00,130.00,306 LA SALLE 14215
